10000000,1
9999999,2
9999999,11
9999999,11
10000000,5
10000000,7
10000000,6
10000000,6
9999999,9
9999999,6
10000000,6
9999999,8
10000000,2
10000000,5
9999999,12
9999999,3
9999999,6
9999999,7
9999999,10
10000000,7
10000000,6
10000000,11
9999999,5
10000000,10
10000000,12
10000000,5
9999999,4
9999999,8
9999999,7
9999999,4
10000000,8
10000000,10
9999999,6
9999999,3
10000000,8
10000000,9
9999999,11
10000000,4
10000000,4
10000000,5
9999999,8
10000000,5
9999999,8
10000000,9
10000000,7
10000000,8
9999999,8
10000000,12
9999999,4
10000000,1
10000000,7
9999999,1
9999999,9
10000000,3
9999999,2
9999999,11
10000000,9
9999999,4
10000000,5
10000000,8
10000000,11
10000000,12
10000000,2
9999999,6
9999999,2
9999999,12
10000000,11
9999999,4
10000000,9
10000000,2
10000000,12
9999999,2
10000000,3
9999999,5
9999999,6
9999999,8
10000000,6
10000000,10
9999999,8
10000000,2
10000000,7
10000000,4
9999999,3
9999999,5
10000000,5
10000000,10
9999999,3
9999999,12
9999999,3
9999999,6
9999999,11
10000000,12
9999999,8
10000000,5
10000000,7
10000000,1
9999999,6
10000000,2
9999999,10
10000000,4
